🕘️更新时间,#genre#
2026-03-15 18:36:28,http://123.149.114.41:8009/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1,http://123.149.114.41:8009/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://123.149.114.41:8009/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://123.149.114.41:8009/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://125.43.246.191:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://123.149.114.41:8009/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://113.241.133.223:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://125.43.246.191:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://119.190.201.210:85/tsfile/live/32/2007_1.m3u8?key=txiptv
CCTV-8,http://125.43.246.32:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://125.43.246.32:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://113.241.133.223:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://125.43.246.32:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://125.43.246.191:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://119.190.201.210:85/tsfile/live/33/2008_1.m3u8?key=txiptv
CCTV-14,http://113.241.133.223:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://123.149.114.41:8009/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://124.93.18.239:9003/hls/16/index.m3u8
CCTV-17,http://124.93.18.239:9003/hls/17/index.m3u8
CHC高清电影,http://42.227.89.129:9003/hls/59/index.m3u8
CHC家庭影院,http://42.227.89.129:9003/hls/61/index.m3u8

📡卫视频道,#genre#
广东卫视,http://125.43.246.191:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://119.190.201.210:85/tsfile/live/43/2018_1.m3u8?key=txiptv
湖南卫视,http://119.190.201.210:85/tsfile/live/41/2016_1.m3u8?key=txiptv
北京卫视,http://119.190.201.210:85/tsfile/live/44/2019_1.m3u8?key=txiptv
湖北卫视,http://119.190.201.210:85/tsfile/live/48/2023_1.m3u8?key=txiptv
黑龙江卫视,http://125.43.246.191:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://119.190.201.210:85/tsfile/live/46/2021_1.m3u8?key=txiptv
重庆卫视,http://125.43.246.191:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://119.190.201.210:85/tsfile/live/45/2020_1.m3u8?key=txiptv
东南卫视,http://125.43.246.191:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://171.120.29.4:9003/hls/25/index.m3u8
广西卫视,http://125.43.246.191:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://125.43.246.191:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://124.93.18.239:9003/hls/43/index.m3u8
河北卫视,http://123.149.114.41:8009/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://123.149.114.41:8009/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://171.120.249.236:9003/hls/34/index.m3u8
江苏卫视,http://119.190.201.210:85/tsfile/live/42/2017_1.m3u8?key=txiptv
江西卫视,http://123.149.114.41:8009/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.190.201.210:85/tsfile/live/47/2022_1.m3u8?key=txiptv
内蒙古卫视,http://42.58.141.135:9003/hls/39/index.m3u8
宁夏卫视,http://124.93.18.239:9003/hls/48/index.m3u8
青海卫视,http://171.120.29.4:9003/hls/40/index.m3u8
山东卫视,http://119.190.201.210:85/tsfile/live/34/2009_1.m3u8?key=txiptv
山西卫视,http://123.149.114.41:8009/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://123.149.114.41:8009/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://123.149.114.41:8009/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://124.93.18.239:9003/hls/54/index.m3u8
天津卫视,http://124.93.18.239:9003/hls/24/index.m3u8
西藏卫视,http://124.93.18.239:9003/hls/52/index.m3u8
新疆卫视,http://124.93.18.239:9003/hls/50/index.m3u8
云南卫视,http://123.149.114.41:8009/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
